date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,country_iso3,description,ilo_source
2004-01-01,,1383,,informal_rate_tur,51.018,percent of employment,ILOSTAT (rplumber.ilo.org),2004,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2005-01-01,,1384,,informal_rate_tur,49.046,percent of employment,ILOSTAT (rplumber.ilo.org),2005,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2006-01-01,,1385,,informal_rate_tur,47.746,percent of employment,ILOSTAT (rplumber.ilo.org),2006,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2007-01-01,,1386,,informal_rate_tur,46.032,percent of employment,ILOSTAT (rplumber.ilo.org),2007,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2008-01-01,,1387,,informal_rate_tur,44.133,percent of employment,ILOSTAT (rplumber.ilo.org),2008,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2009-01-01,,1388,,informal_rate_tur,45.061,percent of employment,ILOSTAT (rplumber.ilo.org),2009,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2010-01-01,,1389,,informal_rate_tur,44.398,percent of employment,ILOSTAT (rplumber.ilo.org),2010,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2011-01-01,,1390,,informal_rate_tur,43.2,percent of employment,ILOSTAT (rplumber.ilo.org),2011,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2012-01-01,,1391,,informal_rate_tur,40.158,percent of employment,ILOSTAT (rplumber.ilo.org),2012,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2013-01-01,,1392,,informal_rate_tur,37.808,percent of employment,ILOSTAT (rplumber.ilo.org),2013,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2014-01-01,,1393,,informal_rate_tur,36.299,percent of employment,ILOSTAT (rplumber.ilo.org),2014,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2015-01-01,,1394,,informal_rate_tur,34.783,percent of employment,ILOSTAT (rplumber.ilo.org),2015,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2016-01-01,,1395,,informal_rate_tur,34.541,percent of employment,ILOSTAT (rplumber.ilo.org),2016,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2017-01-01,,1396,,informal_rate_tur,35.002,percent of employment,ILOSTAT (rplumber.ilo.org),2017,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2018-01-01,,1397,,informal_rate_tur,34.751,percent of employment,ILOSTAT (rplumber.ilo.org),2018,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2019-01-01,,1398,,informal_rate_tur,35.242,percent of employment,ILOSTAT (rplumber.ilo.org),2019,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2020-01-01,,1399,,informal_rate_tur,31.419,percent of employment,ILOSTAT (rplumber.ilo.org),2020,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2021-01-01,,1400,,informal_rate_tur,29.887,percent of employment,ILOSTAT (rplumber.ilo.org),2021,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2022-01-01,,1401,,informal_rate_tur,28.099,percent of employment,ILOSTAT (rplumber.ilo.org),2022,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2023-01-01,,1402,,informal_rate_tur,27.307,percent of employment,ILOSTAT (rplumber.ilo.org),2023,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2024-01-01,,1403,,informal_rate_tur,27.71,percent of employment,ILOSTAT (rplumber.ilo.org),2024,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
2025-01-01,,1404,,informal_rate_tur,26.591,percent of employment,ILOSTAT (rplumber.ilo.org),2025,SDG_0831_SEX_ECO_RT_A,TUR,Informal employment share (SDG 8.3.1),BA:622
1990-01-01,,1369,,participation_rate_egy,50.384,percent of working-age population,ILOSTAT (rplumber.ilo.org),1990,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1991-01-01,,1370,,participation_rate_egy,46.716,percent of working-age population,ILOSTAT (rplumber.ilo.org),1991,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1992-01-01,,1371,,participation_rate_egy,47.186,percent of working-age population,ILOSTAT (rplumber.ilo.org),1992,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1993-01-01,,1372,,participation_rate_egy,47.885,percent of working-age population,ILOSTAT (rplumber.ilo.org),1993,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1994-01-01,,1373,,participation_rate_egy,48.879,percent of working-age population,ILOSTAT (rplumber.ilo.org),1994,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1995-01-01,,1374,,participation_rate_egy,47.925,percent of working-age population,ILOSTAT (rplumber.ilo.org),1995,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),BA:582
1996-01-01,,1375,,participation_rate_egy,46.599,percent of working-age population,ILOSTAT (rplumber.ilo.org),1996,EAP_DWAP_SEX_AGE_RT_A,EGY,Labour force participation rate (LFS),AA:1101
